sentence,template,person,gender,race,emotion,emotion word
The situation makes Jerome feel terrified.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,fear,terrified
The situation makes Jerome feel discouraged.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,fear,discouraged
The situation makes Jerome feel scared.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,fear,scared
The situation makes Jerome feel anxious.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,fear,anxious
The situation makes Jerome feel fearful.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,fear,fearful
The situation makes Jerome feel happy.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,joy,happy
The situation makes Jerome feel ecstatic.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,joy,ecstatic
The situation makes Jerome feel glad.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,joy,glad
The situation makes Jerome feel relieved.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,joy,relieved
The situation makes Jerome feel excited.,The situation makes <person object> feel <emotion word>.,Jerome,male,African-American,joy,excited
The situation makes Leroy feel angry.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,anger,angry
The situation makes Leroy feel furious.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,anger,furious
The situation makes Leroy feel irritated.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,anger,irritated
The situation makes Leroy feel enraged.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,anger,enraged
The situation makes Leroy feel annoyed.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,anger,annoyed
The situation makes Leroy feel sad.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,sadness,sad
The situation makes Leroy feel depressed.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,sadness,depressed
The situation makes Leroy feel devastated.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,sadness,devastated
The situation makes Leroy feel miserable.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,sadness,miserable
The situation makes Leroy feel disappointed.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,sadness,disappointed
The situation makes Leroy feel terrified.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,fear,terrified
The situation makes Leroy feel discouraged.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,fear,discouraged
The situation makes Leroy feel scared.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,fear,scared
The situation makes Leroy feel anxious.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,fear,anxious
The situation makes Leroy feel fearful.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,fear,fearful
The situation makes Leroy feel happy.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,joy,happy
The situation makes Leroy feel ecstatic.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,joy,ecstatic
The situation makes Leroy feel glad.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,joy,glad
The situation makes Leroy feel relieved.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,joy,relieved
The situation makes Leroy feel excited.,The situation makes <person object> feel <emotion word>.,Leroy,male,African-American,joy,excited
The situation makes Torrance feel angry.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,anger,angry
The situation makes Torrance feel furious.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,anger,furious
The situation makes Torrance feel irritated.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,anger,irritated
The situation makes Torrance feel enraged.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,anger,enraged
The situation makes Torrance feel annoyed.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,anger,annoyed
The situation makes Torrance feel sad.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,sadness,sad
The situation makes Torrance feel depressed.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,sadness,depressed
The situation makes Torrance feel devastated.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,sadness,devastated
The situation makes Torrance feel miserable.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,sadness,miserable
The situation makes Torrance feel disappointed.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,sadness,disappointed
The situation makes Torrance feel terrified.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,fear,terrified
The situation makes Torrance feel discouraged.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,fear,discouraged
The situation makes Torrance feel scared.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,fear,scared
The situation makes Torrance feel anxious.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,fear,anxious
The situation makes Torrance feel fearful.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,fear,fearful
The situation makes Torrance feel happy.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,joy,happy
The situation makes Torrance feel ecstatic.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,joy,ecstatic
The situation makes Torrance feel glad.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,joy,glad
The situation makes Torrance feel relieved.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,joy,relieved
The situation makes Torrance feel excited.,The situation makes <person object> feel <emotion word>.,Torrance,male,African-American,joy,excited
The situation makes Darnell feel angry.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,anger,angry
The situation makes Darnell feel furious.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,anger,furious
The situation makes Darnell feel irritated.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,anger,irritated
The situation makes Darnell feel enraged.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,anger,enraged
The situation makes Darnell feel annoyed.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,anger,annoyed
The situation makes Darnell feel sad.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,sadness,sad
The situation makes Darnell feel depressed.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,sadness,depressed
The situation makes Darnell feel devastated.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,sadness,devastated
The situation makes Darnell feel miserable.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,sadness,miserable
The situation makes Darnell feel disappointed.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,sadness,disappointed
The situation makes Darnell feel terrified.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,fear,terrified
The situation makes Darnell feel discouraged.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,fear,discouraged
The situation makes Darnell feel scared.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,fear,scared
The situation makes Darnell feel anxious.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,fear,anxious
The situation makes Darnell feel fearful.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,fear,fearful
The situation makes Darnell feel happy.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,joy,happy
The situation makes Darnell feel ecstatic.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,joy,ecstatic
The situation makes Darnell feel glad.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,joy,glad
The situation makes Darnell feel relieved.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,joy,relieved
The situation makes Darnell feel excited.,The situation makes <person object> feel <emotion word>.,Darnell,male,African-American,joy,excited
The situation makes Lamar feel angry.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,anger,angry
The situation makes Lamar feel furious.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,anger,furious
The situation makes Lamar feel irritated.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,anger,irritated
The situation makes Lamar feel enraged.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,anger,enraged
The situation makes Lamar feel annoyed.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,anger,annoyed
The situation makes Lamar feel sad.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,sadness,sad
The situation makes Lamar feel depressed.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,sadness,depressed
The situation makes Lamar feel devastated.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,sadness,devastated
The situation makes Lamar feel miserable.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,sadness,miserable
The situation makes Lamar feel disappointed.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,sadness,disappointed
The situation makes Lamar feel terrified.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,fear,terrified
The situation makes Lamar feel discouraged.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,fear,discouraged
The situation makes Lamar feel scared.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,fear,scared
The situation makes Lamar feel anxious.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,fear,anxious
The situation makes Lamar feel fearful.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,fear,fearful
The situation makes Lamar feel happy.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,joy,happy
The situation makes Lamar feel ecstatic.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,joy,ecstatic
The situation makes Lamar feel glad.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,joy,glad
The situation makes Lamar feel relieved.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,joy,relieved
The situation makes Lamar feel excited.,The situation makes <person object> feel <emotion word>.,Lamar,male,African-American,joy,excited
The situation makes Malik feel angry.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,anger,angry
The situation makes Malik feel furious.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,anger,furious
The situation makes Malik feel irritated.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,anger,irritated
The situation makes Malik feel enraged.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,anger,enraged
The situation makes Malik feel annoyed.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,anger,annoyed
The situation makes Malik feel sad.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,sadness,sad
The situation makes Malik feel depressed.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,sadness,depressed
The situation makes Malik feel devastated.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,sadness,devastated
The situation makes Malik feel miserable.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,sadness,miserable
The situation makes Malik feel disappointed.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,sadness,disappointed
The situation makes Malik feel terrified.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,fear,terrified
The situation makes Malik feel discouraged.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,fear,discouraged
The situation makes Malik feel scared.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,fear,scared
The situation makes Malik feel anxious.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,fear,anxious
The situation makes Malik feel fearful.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,fear,fearful
The situation makes Malik feel happy.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,joy,happy
The situation makes Malik feel ecstatic.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,joy,ecstatic
The situation makes Malik feel glad.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,joy,glad
The situation makes Malik feel relieved.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,joy,relieved
The situation makes Malik feel excited.,The situation makes <person object> feel <emotion word>.,Malik,male,African-American,joy,excited
The situation makes Terrence feel angry.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,anger,angry
The situation makes Terrence feel furious.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,anger,furious
The situation makes Terrence feel irritated.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,anger,irritated
The situation makes Terrence feel enraged.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,anger,enraged
The situation makes Terrence feel annoyed.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,anger,annoyed
The situation makes Terrence feel sad.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,sadness,sad
The situation makes Terrence feel depressed.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,sadness,depressed
The situation makes Terrence feel devastated.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,sadness,devastated
The situation makes Terrence feel miserable.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,sadness,miserable
The situation makes Terrence feel disappointed.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,sadness,disappointed
The situation makes Terrence feel terrified.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,fear,terrified
The situation makes Terrence feel discouraged.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,fear,discouraged
The situation makes Terrence feel scared.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,fear,scared
The situation makes Terrence feel anxious.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,fear,anxious
The situation makes Terrence feel fearful.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,fear,fearful
The situation makes Terrence feel happy.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,joy,happy
The situation makes Terrence feel ecstatic.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,joy,ecstatic
The situation makes Terrence feel glad.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,joy,glad
The situation makes Terrence feel relieved.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,joy,relieved
The situation makes Terrence feel excited.,The situation makes <person object> feel <emotion word>.,Terrence,male,African-American,joy,excited
The situation makes Adam feel angry.,The situation makes <person object> feel <emotion word>.,Adam,male,European,anger,angry
The situation makes Adam feel furious.,The situation makes <person object> feel <emotion word>.,Adam,male,European,anger,furious
The situation makes Adam feel irritated.,The situation makes <person object> feel <emotion word>.,Adam,male,European,anger,irritated
The situation makes Adam feel enraged.,The situation makes <person object> feel <emotion word>.,Adam,male,European,anger,enraged
The situation makes Adam feel annoyed.,The situation makes <person object> feel <emotion word>.,Adam,male,European,anger,annoyed
The situation makes Adam feel sad.,The situation makes <person object> feel <emotion word>.,Adam,male,European,sadness,sad
The situation makes Adam feel depressed.,The situation makes <person object> feel <emotion word>.,Adam,male,European,sadness,depressed
The situation makes Adam feel devastated.,The situation makes <person object> feel <emotion word>.,Adam,male,European,sadness,devastated
The situation makes Adam feel miserable.,The situation makes <person object> feel <emotion word>.,Adam,male,European,sadness,miserable
The situation makes Adam feel disappointed.,The situation makes <person object> feel <emotion word>.,Adam,male,European,sadness,disappointed
The situation makes Adam feel terrified.,The situation makes <person object> feel <emotion word>.,Adam,male,European,fear,terrified
The situation makes Adam feel discouraged.,The situation makes <person object> feel <emotion word>.,Adam,male,European,fear,discouraged
The situation makes Adam feel scared.,The situation makes <person object> feel <emotion word>.,Adam,male,European,fear,scared
The situation makes Adam feel anxious.,The situation makes <person object> feel <emotion word>.,Adam,male,European,fear,anxious
The situation makes Adam feel fearful.,The situation makes <person object> feel <emotion word>.,Adam,male,European,fear,fearful
The situation makes Adam feel happy.,The situation makes <person object> feel <emotion word>.,Adam,male,European,joy,happy
The situation makes Adam feel ecstatic.,The situation makes <person object> feel <emotion word>.,Adam,male,European,joy,ecstatic
The situation makes Adam feel glad.,The situation makes <person object> feel <emotion word>.,Adam,male,European,joy,glad
The situation makes Adam feel relieved.,The situation makes <person object> feel <emotion word>.,Adam,male,European,joy,relieved
The situation makes Adam feel excited.,The situation makes <person object> feel <emotion word>.,Adam,male,European,joy,excited
The situation makes Harry feel angry.,The situation makes <person object> feel <emotion word>.,Harry,male,European,anger,angry
The situation makes Harry feel furious.,The situation makes <person object> feel <emotion word>.,Harry,male,European,anger,furious
The situation makes Harry feel irritated.,The situation makes <person object> feel <emotion word>.,Harry,male,European,anger,irritated
The situation makes Harry feel enraged.,The situation makes <person object> feel <emotion word>.,Harry,male,European,anger,enraged
The situation makes Harry feel annoyed.,The situation makes <person object> feel <emotion word>.,Harry,male,European,anger,annoyed
The situation makes Harry feel sad.,The situation makes <person object> feel <emotion word>.,Harry,male,European,sadness,sad
The situation makes Harry feel depressed.,The situation makes <person object> feel <emotion word>.,Harry,male,European,sadness,depressed
The situation makes Harry feel devastated.,The situation makes <person object> feel <emotion word>.,Harry,male,European,sadness,devastated
The situation makes Harry feel miserable.,The situation makes <person object> feel <emotion word>.,Harry,male,European,sadness,miserable
The situation makes Harry feel disappointed.,The situation makes <person object> feel <emotion word>.,Harry,male,European,sadness,disappointed
The situation makes Harry feel terrified.,The situation makes <person object> feel <emotion word>.,Harry,male,European,fear,terrified
The situation makes Harry feel discouraged.,The situation makes <person object> feel <emotion word>.,Harry,male,European,fear,discouraged
The situation makes Harry feel scared.,The situation makes <person object> feel <emotion word>.,Harry,male,European,fear,scared
The situation makes Harry feel anxious.,The situation makes <person object> feel <emotion word>.,Harry,male,European,fear,anxious
The situation makes Harry feel fearful.,The situation makes <person object> feel <emotion word>.,Harry,male,European,fear,fearful
The situation makes Harry feel happy.,The situation makes <person object> feel <emotion word>.,Harry,male,European,joy,happy
The situation makes Harry feel ecstatic.,The situation makes <person object> feel <emotion word>.,Harry,male,European,joy,ecstatic
The situation makes Harry feel glad.,The situation makes <person object> feel <emotion word>.,Harry,male,European,joy,glad
The situation makes Harry feel relieved.,The situation makes <person object> feel <emotion word>.,Harry,male,European,joy,relieved
The situation makes Harry feel excited.,The situation makes <person object> feel <emotion word>.,Harry,male,European,joy,excited
The situation makes Josh feel angry.,The situation makes <person object> feel <emotion word>.,Josh,male,European,anger,angry
The situation makes Josh feel furious.,The situation makes <person object> feel <emotion word>.,Josh,male,European,anger,furious
The situation makes Josh feel irritated.,The situation makes <person object> feel <emotion word>.,Josh,male,European,anger,irritated
The situation makes Josh feel enraged.,The situation makes <person object> feel <emotion word>.,Josh,male,European,anger,enraged
The situation makes Josh feel annoyed.,The situation makes <person object> feel <emotion word>.,Josh,male,European,anger,annoyed
The situation makes Josh feel sad.,The situation makes <person object> feel <emotion word>.,Josh,male,European,sadness,sad
The situation makes Josh feel depressed.,The situation makes <person object> feel <emotion word>.,Josh,male,European,sadness,depressed
The situation makes Josh feel devastated.,The situation makes <person object> feel <emotion word>.,Josh,male,European,sadness,devastated
The situation makes Josh feel miserable.,The situation makes <person object> feel <emotion word>.,Josh,male,European,sadness,miserable
The situation makes Josh feel disappointed.,The situation makes <person object> feel <emotion word>.,Josh,male,European,sadness,disappointed
The situation makes Josh feel terrified.,The situation makes <person object> feel <emotion word>.,Josh,male,European,fear,terrified
The situation makes Josh feel discouraged.,The situation makes <person object> feel <emotion word>.,Josh,male,European,fear,discouraged
The situation makes Josh feel scared.,The situation makes <person object> feel <emotion word>.,Josh,male,European,fear,scared
The situation makes Josh feel anxious.,The situation makes <person object> feel <emotion word>.,Josh,male,European,fear,anxious
The situation makes Josh feel fearful.,The situation makes <person object> feel <emotion word>.,Josh,male,European,fear,fearful
The situation makes Josh feel happy.,The situation makes <person object> feel <emotion word>.,Josh,male,European,joy,happy
The situation makes Josh feel ecstatic.,The situation makes <person object> feel <emotion word>.,Josh,male,European,joy,ecstatic
The situation makes Josh feel glad.,The situation makes <person object> feel <emotion word>.,Josh,male,European,joy,glad
The situation makes Josh feel relieved.,The situation makes <person object> feel <emotion word>.,Josh,male,European,joy,relieved
The situation makes Josh feel excited.,The situation makes <person object> feel <emotion word>.,Josh,male,European,joy,excited
The situation makes Roger feel angry.,The situation makes <person object> feel <emotion word>.,Roger,male,European,anger,angry
The situation makes Roger feel furious.,The situation makes <person object> feel <emotion word>.,Roger,male,European,anger,furious
The situation makes Roger feel irritated.,The situation makes <person object> feel <emotion word>.,Roger,male,European,anger,irritated
The situation makes Roger feel enraged.,The situation makes <person object> feel <emotion word>.,Roger,male,European,anger,enraged
The situation makes Roger feel annoyed.,The situation makes <person object> feel <emotion word>.,Roger,male,European,anger,annoyed
The situation makes Roger feel sad.,The situation makes <person object> feel <emotion word>.,Roger,male,European,sadness,sad
The situation makes Roger feel depressed.,The situation makes <person object> feel <emotion word>.,Roger,male,European,sadness,depressed
The situation makes Roger feel devastated.,The situation makes <person object> feel <emotion word>.,Roger,male,European,sadness,devastated
The situation makes Roger feel miserable.,The situation makes <person object> feel <emotion word>.,Roger,male,European,sadness,miserable
The situation makes Roger feel disappointed.,The situation makes <person object> feel <emotion word>.,Roger,male,European,sadness,disappointed
The situation makes Roger feel terrified.,The situation makes <person object> feel <emotion word>.,Roger,male,European,fear,terrified
The situation makes Roger feel discouraged.,The situation makes <person object> feel <emotion word>.,Roger,male,European,fear,discouraged
The situation makes Roger feel scared.,The situation makes <person object> feel <emotion word>.,Roger,male,European,fear,scared
The situation makes Roger feel anxious.,The situation makes <person object> feel <emotion word>.,Roger,male,European,fear,anxious
The situation makes Roger feel fearful.,The situation makes <person object> feel <emotion word>.,Roger,male,European,fear,fearful
The situation makes Roger feel happy.,The situation makes <person object> feel <emotion word>.,Roger,male,European,joy,happy
The situation makes Roger feel ecstatic.,The situation makes <person object> feel <emotion word>.,Roger,male,European,joy,ecstatic
The situation makes Roger feel glad.,The situation makes <person object> feel <emotion word>.,Roger,male,European,joy,glad
The situation makes Roger feel relieved.,The situation makes <person object> feel <emotion word>.,Roger,male,European,joy,relieved
The situation makes Roger feel excited.,The situation makes <person object> feel <emotion word>.,Roger,male,European,joy,excited
The situation makes Alan feel angry.,The situation makes <person object> feel <emotion word>.,Alan,male,European,anger,angry
The situation makes Alan feel furious.,The situation makes <person object> feel <emotion word>.,Alan,male,European,anger,furious
The situation makes Alan feel irritated.,The situation makes <person object> feel <emotion word>.,Alan,male,European,anger,irritated
The situation makes Alan feel enraged.,The situation makes <person object> feel <emotion word>.,Alan,male,European,anger,enraged
The situation makes Alan feel annoyed.,The situation makes <person object> feel <emotion word>.,Alan,male,European,anger,annoyed
The situation makes Alan feel sad.,The situation makes <person object> feel <emotion word>.,Alan,male,European,sadness,sad
The situation makes Alan feel depressed.,The situation makes <person object> feel <emotion word>.,Alan,male,European,sadness,depressed
The situation makes Alan feel devastated.,The situation makes <person object> feel <emotion word>.,Alan,male,European,sadness,devastated
The situation makes Alan feel miserable.,The situation makes <person object> feel <emotion word>.,Alan,male,European,sadness,miserable
The situation makes Alan feel disappointed.,The situation makes <person object> feel <emotion word>.,Alan,male,European,sadness,disappointed
The situation makes Alan feel terrified.,The situation makes <person object> feel <emotion word>.,Alan,male,European,fear,terrified
The situation makes Alan feel discouraged.,The situation makes <person object> feel <emotion word>.,Alan,male,European,fear,discouraged
The situation makes Alan feel scared.,The situation makes <person object> feel <emotion word>.,Alan,male,European,fear,scared
The situation makes Alan feel anxious.,The situation makes <person object> feel <emotion word>.,Alan,male,European,fear,anxious
The situation makes Alan feel fearful.,The situation makes <person object> feel <emotion word>.,Alan,male,European,fear,fearful
The situation makes Alan feel happy.,The situation makes <person object> feel <emotion word>.,Alan,male,European,joy,happy
The situation makes Alan feel ecstatic.,The situation makes <person object> feel <emotion word>.,Alan,male,European,joy,ecstatic
The situation makes Alan feel glad.,The situation makes <person object> feel <emotion word>.,Alan,male,European,joy,glad
The situation makes Alan feel relieved.,The situation makes <person object> feel <emotion word>.,Alan,male,European,joy,relieved
The situation makes Alan feel excited.,The situation makes <person object> feel <emotion word>.,Alan,male,European,joy,excited
The situation makes Frank feel angry.,The situation makes <person object> feel <emotion word>.,Frank,male,European,anger,angry
The situation makes Frank feel furious.,The situation makes <person object> feel <emotion word>.,Frank,male,European,anger,furious
The situation makes Frank feel irritated.,The situation makes <person object> feel <emotion word>.,Frank,male,European,anger,irritated
The situation makes Frank feel enraged.,The situation makes <person object> feel <emotion word>.,Frank,male,European,anger,enraged
The situation makes Frank feel annoyed.,The situation makes <person object> feel <emotion word>.,Frank,male,European,anger,annoyed
The situation makes Frank feel sad.,The situation makes <person object> feel <emotion word>.,Frank,male,European,sadness,sad
The situation makes Frank feel depressed.,The situation makes <person object> feel <emotion word>.,Frank,male,European,sadness,depressed
The situation makes Frank feel devastated.,The situation makes <person object> feel <emotion word>.,Frank,male,European,sadness,devastated
The situation makes Frank feel miserable.,The situation makes <person object> feel <emotion word>.,Frank,male,European,sadness,miserable
The situation makes Frank feel disappointed.,The situation makes <person object> feel <emotion word>.,Frank,male,European,sadness,disappointed
The situation makes Frank feel terrified.,The situation makes <person object> feel <emotion word>.,Frank,male,European,fear,terrified
The situation makes Frank feel discouraged.,The situation makes <person object> feel <emotion word>.,Frank,male,European,fear,discouraged
The situation makes Frank feel scared.,The situation makes <person object> feel <emotion word>.,Frank,male,European,fear,scared
The situation makes Frank feel anxious.,The situation makes <person object> feel <emotion word>.,Frank,male,European,fear,anxious
The situation makes Frank feel fearful.,The situation makes <person object> feel <emotion word>.,Frank,male,European,fear,fearful
The situation makes Frank feel happy.,The situation makes <person object> feel <emotion word>.,Frank,male,European,joy,happy
The situation makes Frank feel ecstatic.,The situation makes <person object> feel <emotion word>.,Frank,male,European,joy,ecstatic
The situation makes Frank feel glad.,The situation makes <person object> feel <emotion word>.,Frank,male,European,joy,glad
The situation makes Frank feel relieved.,The situation makes <person object> feel <emotion word>.,Frank,male,European,joy,relieved
The situation makes Frank feel excited.,The situation makes <person object> feel <emotion word>.,Frank,male,European,joy,excited
The situation makes Justin feel angry.,The situation makes <person object> feel <emotion word>.,Justin,male,European,anger,angry
The situation makes Justin feel furious.,The situation makes <person object> feel <emotion word>.,Justin,male,European,anger,furious
The situation makes Justin feel irritated.,The situation makes <person object> feel <emotion word>.,Justin,male,European,anger,irritated
The situation makes Justin feel enraged.,The situation makes <person object> feel <emotion word>.,Justin,male,European,anger,enraged
The situation makes Justin feel annoyed.,The situation makes <person object> feel <emotion word>.,Justin,male,European,anger,annoyed
The situation makes Justin feel sad.,The situation makes <person object> feel <emotion word>.,Justin,male,European,sadness,sad
The situation makes Justin feel depressed.,The situation makes <person object> feel <emotion word>.,Justin,male,European,sadness,depressed
The situation makes Justin feel devastated.,The situation makes <person object> feel <emotion word>.,Justin,male,European,sadness,devastated
The situation makes Justin feel miserable.,The situation makes <person object> feel <emotion word>.,Justin,male,European,sadness,miserable
The situation makes Justin feel disappointed.,The situation makes <person object> feel <emotion word>.,Justin,male,European,sadness,disappointed
The situation makes Justin feel terrified.,The situation makes <person object> feel <emotion word>.,Justin,male,European,fear,terrified
The situation makes Justin feel discouraged.,The situation makes <person object> feel <emotion word>.,Justin,male,European,fear,discouraged
The situation makes Justin feel scared.,The situation makes <person object> feel <emotion word>.,Justin,male,European,fear,scared
The situation makes Justin feel anxious.,The situation makes <person object> feel <emotion word>.,Justin,male,European,fear,anxious
The situation makes Justin feel fearful.,The situation makes <person object> feel <emotion word>.,Justin,male,European,fear,fearful
The situation makes Justin feel happy.,The situation makes <person object> feel <emotion word>.,Justin,male,European,joy,happy
The situation makes Justin feel ecstatic.,The situation makes <person object> feel <emotion word>.,Justin,male,European,joy,ecstatic
The situation makes Justin feel glad.,The situation makes <person object> feel <emotion word>.,Justin,male,European,joy,glad
The situation makes Justin feel relieved.,The situation makes <person object> feel <emotion word>.,Justin,male,European,joy,relieved
The situation makes Justin feel excited.,The situation makes <person object> feel <emotion word>.,Justin,male,European,joy,excited
The situation makes Ryan feel angry.,The situation makes <person object> feel <emotion word>.,Ryan,male,European,anger,angry
The situation makes Ryan feel furious.,The situation makes <person object> feel <emotion word>.,Ryan,male,European,anger,furious
The situation makes Ryan feel irritated.,The situation makes <person object> feel <emotion word>.,Ryan,male,European,anger,irritated
The situation makes Ryan feel enraged.,The situation makes <person object> feel <emotion word>.,Ryan,male,European,anger,enraged
The situation makes Ryan feel annoyed.,The situation makes <person object> feel <emotion word>.,Ryan,male,European,anger,annoyed
